indicator_id,region_id,date,value
ZSFH,99999,2024-07-31,486230.166076768
ZSFH,99999,2024-06-30,485893.210056432
ZSFH,99999,2024-05-31,484599.091200597
ZSFH,99999,2024-04-30,481777.608668988
ZSFH,99999,2024-03-31,480423.651093419
ZSFH,99999,2024-02-29,480905.942124609
ZSFH,99999,2024-01-31,484672.057700675
ZSFH,99999,2023-12-31,488587.63954639
ZSFH,99999,2023-11-30,491958.225557033
ZSFH,99999,2023-10-31,495224.430109223
ZSFH,99999,2023-09-30,498433.275149727
ZSFH,99999,2023-08-31,501174.853810907
ZSFH,99999,2023-07-31,502715.068799113
ZSFH,99999,2023-06-30,502758.613643215
ZSFH,99999,2023-05-31,501228.286856324
ZSFH,99999,2023-04-30,497868.104215924
ZSFH,99999,2023-03-31,495594.523598153
ZSFH,99999,2023-02-28,495549.782215306
ZSFH,99999,2023-01-31,498757.375882682
ZSFH,99999,2022-12-31,503342.218402568
ZSFH,99999,2022-11-30,507501.755110512
ZSFH,99999,2022-10-31,510835.147452795
ZSFH,99999,2022-09-30,513380.948689313
ZSFH,99999,2022-08-31,518232.029388387
ZSFH,99999,2022-07-31,522947.292554997
ZSFH,99999,2022-06-30,526630.140819287
ZSFH,99999,2022-05-31,525008.328523956
ZSFH,99999,2022-04-30,519919.349064606
ZSFH,99999,2022-03-31,512486.667309688
ZSFH,99999,2022-02-28,504891.549735453
ZSFH,99999,2022-01-31,498711.333603874
ZSFH,99999,2021-12-31,493328.335812197
ZSFH,99999,2021-11-30,490111.566999848
ZSFH,99999,2021-10-31,488355.485013861
ZSFH,99999,2021-09-30,487689.76792023
ZSFH,99999,2021-08-31,485395.697992657
ZSFH,99999,2021-07-31,478259.848625688
ZSFH,99999,2021-06-30,467958.738821781
ZSFH,99999,2021-05-31,457437.957855241
ZSFH,99999,2021-04-30,449649.241365498
ZSFH,99999,2021-03-31,441231.672976966
ZSFH,99999,2021-02-28,433091.375106483
ZSFH,99999,2021-01-31,423957.118648309
ZSFH,99999,2020-12-31,416402.571721121
ZSFH,99999,2020-11-30,408253.26214885
ZSFH,99999,2020-10-31,399809.766832518
ZSFH,99999,2020-09-30,392269.101018067
ZSFH,99999,2020-08-31,386366.540417752
ZSFH,99999,2020-07-31,384093.14549108
ZSFH,99999,2020-06-30,382880.286710768
ZSFH,99999,2020-05-31,381242.17345608
ZSFH,99999,2020-04-30,377502.51257066
ZSFH,99999,2020-03-31,372850.40413301
ZSFH,99999,2020-02-29,370008.20764993
ZSFH,99999,2020-01-31,368230.494366849
ZSFH,99999,2019-12-31,367461.089550775
